Region,"Enterprise (Culture, Education, and Sport)","Output (Culture, Education, and Sports)","Employee (Culture, Education, and Sports)","Enterprise (Fur, Feather, Leather)","Output (Fur, Feather, Leather)","Employee (Fur, Feather, Leather)","Enterprise (Communication, Computer, and Electronics)","Output (Communication, Computer, and Electronics)","Employee (Communication, Computer, and Electronics)",Enterprise (Apparel),Output (Apparel),Employee (Apparel),Enterprise (Furniture),Output (Furniture),Employee (Furniture),Enterprise (Electrical Machinery),Output (Electrical Machinery),Employee (Electrical Machinery),Enterprise (Tobacco),Output (Electrical Machinery),Employee (Electrical Machinery),Enterprise (Artistic and Miscellaneous Products),Output (Artistic and Miscellaneous Products),Employee (Artistic and Miscellaneous Products),Enterprise (Plastic Products),Output (Plastic Products),Employee (Plastics Products),Enterprise (Chemical Fibers),Output (Chemical Fibers),Employee (Chemical Fibers),Enterprise (Instruments and Office Machines),Output (Instruments and Office Machines),Employee (Instruments and Office Machines),Enterprise (Metal Products),Output (Metal Products),Employee (Metal Products),Enterprise (Textile),Output (Textile),Employee (Textile),Enterprise (Rubber),Output (Rubber),Employee (Rubber),Enterprise (General Machinery),Output (General Machinery),Employee (General Machinery),Enterprise (Paper),Output (Paper),Employee (Paper),Enterprise (Wood Product),Output (Wood Product),Employee (Wood Product),Enterprise (Petroleum Processing),Output (Petroleum Processing),Employee (Petroleum Processing),Enterprise (Food Processing),Output (Food Processing),Employee (Food Processing),Enterprise (Transport Equipment),Output (Transport Equipment),Employee (Transport Equipment),Enterprise (Mineral Products),Output (Mineral Products),Employee (Mineral Products),Enterprise (Ferrous Metallurgy),Output (Ferrous Metallurgy),Employee (Ferrous Metallurgy),Enterprise (Medical Products),Output (Medical Products),Employee (Medical Products)
Beijing,54,12.44,0.88,46,7.16,0.47,498,1235.58,10.02,285,75.27,7.83,111,23.12,1.49,417,197.53,4.74,4,14.79,0.09,111,23.55,1.28,265,52.64,2.25,14,2.42,0.08,347,124.38,3.00,439,105.34,4.28,181,59.42,3.94,42,18.17,0.91,483,186.70,6.39,131,35.48,1.19,43,12.00,0.44,56,274.57,1.28,254,118.67,2.67,399,748.92,10.96,492,184.46,7.67,10,10.05,0.31,196,119.72,3.49
Tianjin,60,27.42,1.35,79,32.35,1.89,333,1368.10,12.40,251,61.03,7.30,73,36.48,1.82,395,312.64,6.23,1,9.28,0.17,172,36.35,2.92,287,105.53,4.18,18,5.24,0.25,153,55.33,1.71,520,204.50,7.14,329,73.20,7.21,112,53.85,2.49,514,214.11,6.52,169,46.28,1.93,76,17.75,0.62,46,257.95,1.26,186,130.36,2.19,461,436.55,10.54,238,78.47,2.76,,,,112,117.84,3.53
Hebei,39,6.94,0.66,289,171.60,5.26,73,57.13,2.16,216,90.91,8.07,81,28.74,1.35,345,203.36,5.91,4,45.59,0.67,86,24.58,2.09,301,121.12,4.79,22,34.86,1.28,51,14.12,1.03,511,194.95,9.22,600,347.87,21.69,195,63.08,3.46,647,214.72,14.27,305,131.66,6.59,96,48.26,1.76,95,364.62,3.63,576,413.91,7.48,296,281.11,9.72,1038,392.35,25.82,419,226.32,8.47,148,171.98,6.77
Shanxi,15,4.63,0.42,8,0.14,0.02,29,10.65,0.92,19,4.10,0.75,8,0.58,0.06,77,31.59,2.48,2,11.02,0.16,21,3.29,0.34,47,8.14,0.64,6,3.71,0.15,19,4.75,0.24,121,25.65,2.98,73,27.84,4.52,28,13.27,0.77,279,102.83,8.74,35,6.12,0.62,8,0.58,0.06,400,495.44,15.61,180,43.41,2.04,86,49.85,3.85,421,100.65,12.77,142,46.52,2.07,92,42.66,2.54
Inner Mongolia,0,0.00,,11,3.09,0.16,16,49.63,0.43,26,7.53,1.03,11,2.14,0.15,27,8.11,0.60,2,14.63,0.25,11,4.90,0.57,24,4.21,0.26,2,0.79,0.10,1,0.07,0.01,34,9.56,0.68,125,108.65,5.79,1,0.15,0.01,52,13.41,1.68,27,13.44,1.04,34,9.03,0.82,72,66.24,1.57,271,140.82,4.26,19,35.69,0.70,200,72.61,4.66,66,25.80,1.60,48,32.39,1.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,39,11.69,0.75,79,61.02,1.96,217,396.11,6.81,340,80.80,9.24,113,42.80,1.75,589,286.07,9.46,6,27.99,0.30,83,24.79,2.13,361,128.62,4.28,33,53.28,3.18,157,41.83,2.16,449,155.59,6.02,374,123.44,9.66,129,79.49,3.61,1284,459.81,19.41,204,42.27,3.16,218,50.15,2.52,184,1329.11,5.48,750,381.74,9.24,527,681.64,19.03,838,267.57,16.44,262,63.41,4.35,169,84.70,3.27
Jilin,5,0.44,0.06,10,1.86,0.10,33,21.82,1.17,46,8.99,1.07,30,6.47,0.58,84,19.67,1.39,7,30.13,0.41,15,3.39,0.20,96,20.57,1.06,9,31.07,1.07,31,7.77,0.75,75,14.59,0.83,73,30.92,2.91,25,10.08,0.45,161,32.53,2.76,66,21.14,1.21,151,56.78,7.58,26,46.21,0.75,281,216.26,4.96,420,1328.05,18.26,257,82.98,5.56,28,14.62,1.02,204,117.87,4.14
Heilongjiang,8,1.56,0.20,10,1.62,0.11,30,16.05,0.45,14,2.28,0.25,54,18.24,1.44,126,69.22,3.39,5,24.16,0.61,16,5.19,0.78,93,22.78,1.67,6,17.95,0.42,30,10.13,1.22,95,40.97,2.67,92,35.28,5.08,26,11.64,0.89,221,182.40,8.23,84,40.32,3.04,156,34.25,3.49,75,538.80,4.54,363,225.36,6.14,185,211.36,6.24,236,60.35,5.53,6,2.90,0.20,96,94.39,4.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,321,127.49,7.14,264,103.15,5.72,695,2844.24,23.66,1143,324.04,22.84,253,124.30,3.88,1301,917.80,21.31,2,197.44,0.43,189,68.79,2.66,955,324.41,11.20,60,76.10,1.17,361,250.91,5.51,1388,564.36,15.91,1109,349.23,18.60,275,129.71,5.20,1684,1029.10,22.56,345,119.40,3.34,207,85.90,2.28,58,670.82,2.83,194,163.16,2.33,759,1504.89,18.79,681,344.03,8.84,,,,233,196.03,5.21
Jiangsu,608,179.74,12.76,512,188.90,12.85,1639,4358.78,65.36,2475,904.32,59.95,186,77.07,3.72,2631,1759.79,44.18,6,166.71,0.80,398,112.60,6.79,1711,608.59,20.84,588,521.23,9.60,493,334.91,8.45,2543,908.04,31.78,6498,2576.32,120.33,446,199.60,8.43,4235,1665.55,58.39,673,396.17,9.48,744,228.84,10.16,161,429.18,2.11,1039,614.49,10.92,1687,1200.94,33.18,1842,739.63,30.16,13,24.15,1.13,465,371.75,9.46
Zhejiang,804,195.78,12.68,1804,687.03,40.23,1015,909.18,21.45,2270,706.38,52.19,450,174.60,8.80,3257,1497.73,50.59,6,154.26,0.31,1225,301.58,19.99,2326,703.42,24.83,382,731.04,8.06,696,207.41,11.56,2245,659.09,28.22,6647,2470.11,104.29,467,190.53,9.24,4382,1363.00,57.02,1220,403.52,13.08,672,182.70,7.81,44,503.19,1.15,832,355.95,7.62,2075,926.10,33.19,1437,557.11,21.74,7,12.41,0.18,412,299.98,7.88
Anhui,62,13.60,1.93,79,30.58,2.02,87,78.21,2.24,143,24.34,3.52,25,4.22,0.32,303,332.12,6.66,11,106.61,1.15,43,10.87,1.91,196,104.85,3.04,17,21.80,0.52,39,17.35,0.59,169,61.78,2.69,344,151.22,13.47,46,61.10,2.25,355,128.91,7.19,115,40.97,2.12,169,38.56,2.88,15,131.44,0.77,457,167.37,4.96,207,306.94,7.45,432,177.22,9.72,52,20.12,2.85,122,40.85,2.65
Fujian,163,53.83,5.14,835,366.72,39.74,352,1178.53,15.81,985,343.10,29.35,174,75.94,4.86,368,318.23,12.12,7,80.92,0.41,673,168.31,20.07,710,230.97,11.98,56,62.66,1.26,171,88.41,4.95,326,114.28,4.58,796,376.65,19.51,186,107.74,6.91,381,140.47,6.07,469,166.69,6.24,377,68.33,4.78,16,110.75,0.34,608,313.72,8.11,343,255.53,6.49,1470,397.83,21.80,46,21.44,0.51,79,52.11,1.74
Jiangxi,31,4.12,0.46,58,21.09,1.86,49,32.19,2.20,177,56.30,5.00,25,3.14,0.50,125,66.34,2.93,6,50.44,0.71,50,9.60,1.53,76,11.76,0.94,13,21.78,0.86,34,12.88,1.14,86,29.03,1.38,261,76.70,8.12,36,11.34,0.66,169,40.51,3.43,112,24.33,1.37,148,22.37,2.08,20,127.31,0.84,344,95.70,2.47,127,190.86,6.39,443,117.65,9.49,37,10.95,0.66,138,94.78,4.12
Shandong,240,140.89,8.32,393,289.18,14.37,461,800.27,14.83,775,365.01,27.37,298,105.13,4.75,860,1320.49,23.14,12,119.36,1.03,644,272.62,15.50,861,313.68,10.77,98,140.05,3.45,220,82.89,3.64,961,464.17,17.13,2326,1568.17,85.60,374,523.59,13.48,1889,1156.26,38.32,688,720.18,21.70,581,177.23,8.03,197,933.83,7.10,2635,2262.07,53.10,769,1020.65,24.06,2220,1255.69,52.71,85,51.34,2.49,355,317.16,10.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henan,17,2.47,0.16,174,91.14,3.14,45,82.16,1.75,119,28.52,3.27,112,25.22,1.73,360,196.41,8.57,20,123.69,1.79,168,68.84,4.22,278,100.83,4.77,29,74.18,2.34,78,29.07,2.04,294,96.77,4.60,662,302.58,28.34,118,68.63,2.82,699,225.35,16.76,417,191.26,9.79,227,55.79,3.53,78,254.36,2.07,1298,616.88,16.10,355,271.90,11.72,1492,617.18,34.49,82,23.38,0.96,245,136.29,7.92
Hubei,17,4.05,0.30,29,6.99,0.65,92,142.36,2.77,180,71.27,7.39,31,8.08,0.44,226,108.09,3.68,13,117.18,1.49,30,25.12,1.02,203,53.59,2.92,24,20.45,0.92,56,18.55,0.94,232,75.00,4.48,559,249.76,22.41,50,12.14,0.97,355,168.87,8.56,192,70.85,3.53,89,24.65,1.27,25,247.06,1.87,570,178.28,5.04,504,1016.61,24.84,573,172.55,12.28,85,33.29,2.57,211,93.04,4.89
Hunan,14,1.83,0.20,80,22.39,1.45,84,84.25,2.36,69,16.94,1.66,55,13.50,0.82,247,107.74,4.55,9,233.65,1.01,62,13.47,1.12,160,34.27,1.58,17,22.29,0.77,59,16.42,0.80,187,49.91,2.93,265,99.33,9.62,59,15.46,1.28,383,116.16,6.24,260,97.06,4.70,286,45.28,3.20,28,238.66,2.08,468,185.76,5.15,263,212.53,8.58,839,183.06,18.91,65,10.85,0.67,164,70.11,2.74
Guangdong,858,426.16,53.87,1370,585.34,74.18,3027,8099.81,172.65,2375,795.81,80.53,761,336.07,23.33,3536,2981.57,117.19,15,154.36,0.83,939,380.85,29.41,2596,1037.71,53.65,97,55.18,1.53,667,772.02,26.83,2770,1189.26,53.24,2040,953.20,55.09,395,152.90,11.21,1192,549.15,19.92,1252,575.79,20.62,359,140.99,7.01,88,789.92,2.23,712,645.00,10.38,813,1252.12,21.86,1973,886.90,41.60,32,15.91,0.72,304,258.84,7.46
Guangxi,5,0.27,0.08,51,14.87,0.96,50,19.43,0.89,13,1.50,0.32,15,1.88,0.19,84,39.25,1.73,3,46.87,0.26,66,10.59,2.16,86,16.41,1.11,7,0.38,0.09,21,5.15,0.47,64,9.85,0.94,98,31.35,3.94,20,4.11,0.61,121,38.65,2.79,127,42.76,2.75,147,32.75,2.57,16,26.08,0.25,354,293.19,8.68,194,307.03,5.44,419,102.78,12.64,49,7.79,0.69,136,58.72,2.93
Hainan,0,0.00,,4,0.69,0.05,6,3.07,0.08,1,0.01,0.01,13,5.42,0.37,10,8.18,0.18,2,5.28,0.05,6,2.44,0.06,19,3.43,0.16,4,6.40,0.13,3,0.11,0.04,10,13.71,0.13,10,10.54,0.70,3,0.28,0.03,4,0.60,0.07,15,2.79,0.30,29,6.52,0.35,2,4.82,0.02,77,41.31,1.60,30,96.33,0.73,41,14.11,0.68,8,12.81,0.84,50,27.53,0.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,3,0.14,0.01,43,13.90,0.69,24,37.58,0.70,19,5.85,0.48,20,9.27,0.29,100,75.30,2.05,5,42.32,0.58,15,3.06,0.28,71,12.57,0.78,2,1.29,0.05,49,37.08,2.05,77,25.87,1.64,111,39.20,5.03,26,10.94,0.87,141,87.12,4.64,58,19.65,0.92,10,3.05,0.20,14,7.31,0.33,104,58.11,1.64,620,788.67,23.67,259,96.94,8.02,16,8.34,0.62,51,53.51,1.97
Sichuan,10,1.00,0.07,123,48.72,2.62,183,242.21,8.99,33,11.55,1.13,77,21.40,1.40,274,159.15,5.38,10,73.04,0.66,28,11.16,1.00,215,92.53,2.91,17,32.85,1.29,49,12.41,0.68,226,66.62,3.43,304,125.83,11.53,42,22.02,1.40,414,213.26,9.33,221,70.83,4.65,75,22.46,1.22,57,47.54,1.09,593,363.32,7.36,354,290.22,13.69,828,246.06,21.03,46,31.14,2.39,245,138.93,5.68
Guizhou,4,0.13,0.05,4,0.31,0.01,30,28.49,1.14,9,2.52,0.33,9,0.33,0.07,40,33.80,1.11,15,98.08,1.63,11,4.13,0.37,50,6.72,0.57,3,1.05,0.04,20,3.61,0.31,37,15.28,1.43,32,3.58,0.81,23,29.05,1.21,68,11.69,1.76,32,4.47,0.42,29,3.55,0.38,62,9.57,0.72,150,24.19,1.12,78,55.61,4.76,282,40.69,5.84,13,2.66,0.53,108,58.18,2.15
Yunnan,1,0.02,,1,0.93,0.08,11,8.52,0.19,5,0.79,0.10,6,0.56,0.11,58,26.37,1.16,21,552.57,2.66,11,3.41,0.38,75,15.83,0.78,1,4.03,0.03,35,5.88,0.71,54,8.98,0.65,24,6.27,1.73,9,1.66,0.24,72,17.44,1.77,68,31.99,1.20,49,11.38,1.02,32,15.68,0.48,155,86.05,3.57,43,49.54,1.86,253,60.88,5.47,25,23.03,1.36,76,41.94,1.43
Tibet,0,0.00,,1,0.05,0.01,,,,,,,2,,,,,,,,,5,0.16,0.06,1,,,,,,,,,1,0.01,0.01,2,0.09,0.02,,,,1,,,,,,6,0.29,0.09,,,,15,0.61,0.05,5,0.46,0.12,15,6.78,0.41,3,1.58,0.06,14,4.10,0.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaanxi,2,0.10,0.01,9,1.47,0.15,66,138.97,5.84,17,3.27,0.40,16,2.46,0.30,168,96.86,4.27,9,52.99,0.69,24,41.62,3.97,49,8.71,0.61,3,2.94,0.03,49,30.41,2.26,72,22.16,1.71,98,59.27,9.03,24,5.27,0.61,197,110.84,5.79,95,23.16,2.58,10,1.75,0.21,52,232.70,1.77,207,77.94,2.54,111,254.03,12.78,280,66.61,6.88,25,7.82,0.62,153,109.22,3.45
Gansu,2,0.20,0.03,14,9.50,0.34,13,9.86,1.22,10,1.38,0.22,5,0.33,0.11,78,30.18,2.75,3,34.10,0.65,12,7.16,0.94,69,17.08,1.25,2,3.47,0.34,18,2.39,0.60,61,9.35,0.99,51,11.15,1.88,3,0.29,0.05,102,21.26,2.55,33,5.17,0.58,6,0.88,0.19,39,375.23,2.99,171,47.28,2.04,54,10.37,1.69,185,49.56,5.30,14,3.66,0.47,43,20.17,1.08
Qinghai,0,0.00,,0,0.00,,,,,3,1.29,0.14,1,0.14,0.01,5,0.81,0.05,,,,9,1.59,0.39,4,0.16,0.02,,,,2,0.85,0.06,14,3.48,0.27,9,3.77,0.42,,,,12,7.33,0.67,2,0.03,0.01,1,,,1,0.26,,40,6.22,0.29,16,2.20,0.16,61,13.56,1.35,7,2.19,0.10,16,5.88,0.30
Ningxia,0,0.00,,7,0.78,0.03,2,0.96,0.08,2,0.42,0.06,1,0.13,0.03,16,5.00,0.36,2,1.42,0.04,5,0.59,0.10,16,3.37,0.32,2,0.31,0.02,4,5.59,0.56,18,7.30,0.56,26,25.02,0.61,4,17.38,0.47,31,18.24,1.31,22,18.15,1.43,1,0.02,,17,43.31,0.75,43,12.36,0.37,4,0.18,0.01,95,25.65,1.69,,,,9,7.44,0.43
Xinjiang,0,0.00,,6,3.83,0.08,1,6.19,0.23,9,0.73,0.11,9,7.06,0.27,38,23.93,0.53,2,7.14,0.06,,,,68,25.88,1.07,4,4.21,0.15,3,0.45,0.05,52,12.52,0.60,73,59.57,6.03,4,4.93,0.26,40,7.63,0.62,36,10.03,0.85,13,3.83,0.26,43,354.54,2.06,170,65.39,2.08,20,8.67,0.53,120,47.96,3.04,21,10.89,0.40,15,3.16,0.20
